2025-05-16 17:53:52 - Username: user, Password: user, Success: True
2025-05-16 17:57:54 - Username: user, Password: user, Success: True
2025-05-16 18:02:03 - Username: user, Password: user, Success: True
2025-05-16 18:07:06 - Username: user, Password: user, Success: True
2025-05-16 18:10:41 - Username: user, Password: user, Success: True
2025-05-16 18:19:14 - Username: user, Password: user, Success: False
2025-05-16 18:21:22 - Username: user, Password: user, Success: False
2025-05-16 18:29:51 - Username: user, Password: user, Success: False
2025-05-16 18:33:26 - Username: user, Password: user, Success: False
2025-05-16 18:33:41 - Username: user, Password: user, Success: False
2025-05-16 18:42:18 - Username: user, Password: user, Success: False
